vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
5.0,5.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
5.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,0.933192568870805,2008,0,0,0,0,0,1,0,1,0,0
5.0,10.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,0,1,0
10.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,0.775700483973994,2008,0,1,0,0,0,1,0,1,0,0
9.0,2.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.26504698888493,2008,0,1,0,0,1,0,0,1,0,0
7.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.12568020511324,2008,0,1,0,0,1,0,0,0,0,0
0.0,10.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.25994851750488,2008,1,0,0,1,0,0,0,0,1,0
5.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,3.0,1.04795883788618,2008,0,0,0,0,1,0,0,0,0,0
7.0,4.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,0.825416405007554,2008,0,0,0,0,0,0,0,0,0,0
6.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,1.20046584325883,2008,0,0,0,1,0,0,0,0,0,0
5.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
5.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,0,0,0
4.0,4.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,0,1,0
4.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,0.993002416900551,2008,0,0,0,0,0,0,0,0,0,0
5.0,6.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.02394448749702,2008,0,0,0,0,1,0,0,0,1,0
0.0,7.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,5.0,0.78521760826911,2008,1,0,0,0,0,0,0,0,0,0
5.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,0.918610408044032,2008,0,0,0,0,0,0,1,0,1,0
4.0,6.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,1.12650650638248,2008,0,0,0,0,0,1,0,0,1,0
0.0,10.0,3.0,0.0,2.0,3.0,2.0,1.0,0.0,4.0,0.844774718870125,2008,1,0,0,0,0,0,0,0,0,0
3.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.17295674046965,2008,0,0,0,1,0,0,0,0,1,0
6.0,6.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,1,0,0
4.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.844774718870125,2008,0,0,0,0,0,0,0,0,0,0
5.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,0,0,0
5.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,1.152926221797,2008,0,1,0,0,0,1,0,1,0,0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,0.918884489853604,2008,1,1,1,0,0,0,0,0,0,0
5.0,5.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,0,0,0
3.0,7.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.17619309907326,2008,0,0,0,0,0,0,1,0,0,0
7.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.09034036164099,2008,0,1,0,0,0,1,0,1,0,0
0.0,10.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,5.0,0.874133682128386,2008,1,0,0,0,0,0,0,0,1,0
7.0,5.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,1.17619309907326,2008,0,0,0,0,0,0,1,1,0,0
3.0,7.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,0.918884489853604,2008,0,0,0,0,0,0,0,0,1,0
9.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.14924021487082,2008,0,1,0,0,0,0,1,1,0,0
8.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.4413262438826,2008,0,1,0,0,1,0,0,1,0,0
9.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,0.952025063582555,2008,0,1,0,0,0,0,1,1,0,0
7.0,0.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,1.13989339480538,2008,0,1,0,0,1,0,0,1,0,0
6.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.09034036164099,2008,0,0,0,0,0,1,0,0,1,0
5.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.11591188022194,2008,0,0,0,0,0,1,0,0,0,0
3.0,5.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,4.0,0.883791254212335,2008,0,0,0,0,0,1,0,0,0,0
9.0,3.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,1.22443304458405,2008,0,0,0,0,1,0,0,1,0,0
6.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,1.3364035864534,2008,0,0,0,1,0,0,0,1,0,0
2.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,0.999197581692218,2008,1,0,0,0,0,0,1,0,0,0
